id,ptime,dtime,plat,plong,node_id
2013011089,2013-01-01 06:57:00,2013-01-01 07:21:00,40.731853,-73.990883,42428480
2013013533,2013-01-01 06:57:00,2013-01-01 07:19:00,40.75499,-73.972298,42448813
2013013546,2013-01-01 06:58:00,2013-01-01 07:26:00,40.725052,-73.983109,42444829
2013012208,2013-01-01 06:58:25,2013-01-01 07:22:34,40.732208,-73.998825,42433281
2013007552,2013-01-01 06:59:00,2013-01-01 07:25:00,40.734051,-74.000023,42432191
2013013572,2013-01-01 06:59:15,2013-01-01 07:22:42,40.724716,-74.010994,4207143428
2013009446,2013-01-01 06:59:42,2013-01-01 07:28:11,40.741535,-73.984177,42429890
2013013459,2013-01-01 06:59:56,2013-01-01 07:21:58,40.73209,-73.984344,42440737
2013013351,2013-01-01 07:00:16,2013-01-01 07:21:31,40.764294,-73.959412,42447237
2013002802,2013-01-01 07:00:23,2013-01-01 07:25:49,40.762127,-73.985413,42435684
2013011671,2013-01-01 07:00:43,2013-01-01 07:33:07,40.758938,-73.986511,5475605303
2013002434,2013-01-01 07:00:45,2013-01-01 07:30:58,40.794842,-73.971619,1061531807
2013013604,2013-01-01 07:01:00,2013-01-01 07:22:00,40.731262,-73.982735,42440743
2013012953,2013-01-01 07:01:14,2013-01-01 07:22:38,40.749664,-73.980347,561042194
2013013612,2013-01-01 07:02:00,2013-01-01 07:24:00,40.74213,-73.985237,4597668032
2013013182,2013-01-01 07:02:13,2013-01-01 07:20:03,40.802189,-73.934212,3786728678
2013012704,2013-01-01 07:02:16,2013-01-01 07:27:54,40.764591,-73.982452,42428321
2013011095,2013-01-01 07:02:54,2013-01-01 07:25:06,40.764393,-73.968399,42459114
2013011644,2013-01-01 07:03:02,2013-01-01 07:21:59,40.753559,-73.969383,42442949
2013013621,2013-01-01 07:03:38,2013-01-01 07:31:38,40.719627,-74.004539,42447249
2013011692,2013-01-01 07:04:00,2013-01-01 07:33:00,40.742741,-74.003998,42439280
2013012521,2013-01-01 07:05:00,2013-01-01 07:26:00,40.75013,-73.982964,42443950
2013013381,2013-01-01 07:05:22,2013-01-01 07:29:45,40.722294,-73.989029,7611187236
2013013333,2013-01-01 07:06:58,2013-01-01 07:27:10,40.745205,-73.978447,42449928
2013011820,2013-01-01 07:07:00,2013-01-01 07:26:00,40.752552,-73.994095,42435644
2013012522,2013-01-01 07:07:59,2013-01-01 07:34:23,40.769096,-73.98111,42421969
2013013111,2013-01-01 07:08:00,2013-01-01 07:35:00,40.730141,-73.980629,42439006
2013008295,2013-01-01 07:08:00,2013-01-01 07:34:00,40.763828,-73.985535,42435702
2013011730,2013-01-01 07:08:08,2013-01-01 07:34:18,40.777168,-73.95237,42443037
2013012468,2013-01-01 07:09:00,2013-01-01 07:30:00,40.736233,-73.979073,387184869
2013013417,2013-01-01 07:10:00,2013-01-01 07:39:00,40.774158,-73.96302,42446013
2013010919,2013-01-01 07:10:18,2013-01-01 07:38:12,40.791473,-73.97419,42428695
2013011790,2013-01-01 07:11:39,2013-01-01 07:34:57,40.724331,-73.984772,42455051
2013012766,2013-01-01 07:12:00,2013-01-01 07:40:00,40.776588,-73.989449,42438300
2013011268,2013-01-01 07:12:00,2013-01-01 07:40:00,40.764576,-73.983025,42428321
2013011642,2013-01-01 07:12:00,2013-01-01 07:37:00,40.743374,-74.003632,42429663
2013013768,2013-01-01 07:12:26,2013-01-01 07:35:33,40.738605,-73.985489,42440325
2013011522,2013-01-01 07:13:00,2013-01-01 07:49:00,40.783142,-73.978004,42442463
2013013552,2013-01-01 07:13:00,2013-01-01 07:40:00,40.73172,-74.003769,42430796
2013000961,2013-01-01 07:13:18,2013-01-01 07:38:41,40.777996,-73.954567,42450028
2013012427,2013-01-01 07:13:41,2013-01-01 07:32:55,40.748283,-73.98011,42458333
2013011188,2013-01-01 07:13:42,2013-01-01 07:41:44,40.759506,-73.988373,42432700
2013010670,2013-01-01 07:14:00,2013-01-01 07:39:00,40.755428,-73.981087,42443556
2013013207,2013-01-01 07:14:45,2013-01-01 07:42:34,40.759823,-73.986153,42428303
2013003630,2013-01-01 07:15:00,2013-01-01 07:39:00,40.713051,-74.002831,42455588
2013011725,2013-01-01 07:16:00,2013-01-01 07:41:00,40.757599,-73.990639,42435663
2013011379,2013-01-01 07:16:25,2013-01-01 07:35:13,40.74889,-73.972649,42432464
2013013542,2013-01-01 07:16:45,2013-01-01 07:43:23,40.743568,-73.972992,4207683801
2013011804,2013-01-01 07:17:09,2013-01-01 07:38:54,40.756966,-73.97242,42440459
2013011528,2013-01-01 07:17:21,2013-01-01 07:40:41,40.721985,-74.004166,42452026
2013013273,2013-01-01 07:18:00,2013-01-01 07:51:00,40.781731,-73.981033,1061531566
2013010395,2013-01-01 07:18:00,2013-01-01 07:41:00,40.759453,-73.968803,5266098185
2013012027,2013-01-01 07:18:36,2013-01-01 07:41:55,40.72583,-73.991867,1773084407
2013010898,2013-01-01 07:20:00,2013-01-01 07:47:00,40.766621,-73.956932,42429694
2013013866,2013-01-01 07:20:07,2013-01-01 07:44:53,40.755684,-73.96476,42436714
2013013660,2013-01-01 07:20:10,2013-01-01 07:42:24,40.793068,-73.945641,42445823
2013001942,2013-01-01 07:20:38,2013-01-01 07:44:37,40.788704,-73.953598,42446099
2013013494,2013-01-01 07:21:00,2013-01-01 07:53:00,40.785461,-73.969727,4205805392
2013013220,2013-01-01 07:21:39,2013-01-01 07:48:49,40.712471,-74.010216,8840333851
2013012310,2013-01-01 07:21:47,2013-01-01 07:47:25,40.741657,-74.00106,42435603
2013013879,2013-01-01 07:22:00,2013-01-01 07:43:00,40.756271,-73.973106,42438889
2013010661,2013-01-01 07:22:00,2013-01-01 07:50:00,40.782116,-73.975441,42443347
2013011871,2013-01-01 07:22:00,2013-01-01 07:46:00,40.745182,-73.994324,42439840
2013011439,2013-01-01 07:22:38,2013-01-01 07:45:14,40.749977,-73.984016,42452973
2013012024,2013-01-01 07:23:01,2013-01-01 07:48:21,40.758469,-73.986267,42428297
2013011431,2013-01-01 07:23:13,2013-01-01 07:48:50,40.780685,-73.97802,4207881094
2013013265,2013-01-01 07:23:37,2013-01-01 07:56:52,40.80547,-73.962021,1506445711
2013013748,2013-01-01 07:23:46,2013-01-01 07:52:11,40.801331,-73.965652,42432756
2013013910,2013-01-01 07:24:00,2013-01-01 07:52:00,40.777596,-73.975296,42435283
2013012181,2013-01-01 07:24:19,2013-01-01 07:48:45,40.763008,-73.979225,42430371
2013013918,2013-01-01 07:24:52,2013-01-01 07:56:55,40.769981,-73.951515,42428015
2013012015,2013-01-01 07:26:00,2013-01-01 07:49:00,40.783871,-73.946175,4207789915
2013009835,2013-01-01 07:26:00,2013-01-01 07:52:00,40.801277,-73.947975,42437174
2013012232,2013-01-01 07:27:00,2013-01-01 07:54:00,40.76984,-73.992485,2710239362
2013012853,2013-01-01 07:27:47,2013-01-01 07:52:34,40.761879,-73.982826,42440004
2013011608,2013-01-01 07:28:00,2013-01-01 07:51:00,40.784576,-73.949677,6181480050
2013011947,2013-01-01 07:28:00,2013-01-01 07:58:00,40.784157,-73.979797,42428653
2013013972,2013-01-01 07:28:00,2013-01-01 07:57:00,40.763763,-73.978851,42430378
2013003719,2013-01-01 07:28:47,2013-01-01 07:47:33,40.746983,-73.976776,42449932
2013013291,2013-01-01 07:29:00,2013-01-01 07:51:00,40.761002,-73.978004,6958055831
2013011615,2013-01-01 07:29:11,2013-01-01 07:48:40,40.781219,-73.952606,42444817
2013012525,2013-01-01 07:29:46,2013-01-01 07:52:55,40.756069,-73.98201,42430344
2013013071,2013-01-01 07:30:00,2013-01-01 07:57:00,40.764557,-73.961899,42442977
2013013014,2013-01-01 07:31:00,2013-01-01 07:49:00,40.746872,-73.977425,42449932
2013011235,2013-01-01 07:31:18,2013-01-01 07:57:46,40.752747,-73.998543,427845235
2013010376,2013-01-01 07:33:02,2013-01-01 07:56:51,40.743748,-73.99221,42427423
2013006482,2013-01-01 07:33:08,2013-01-01 07:49:04,40.747723,-73.978554,8842216739
2013014046,2013-01-01 07:34:00,2013-01-01 08:11:00,40.779636,-73.987907,42438306
2013012449,2013-01-01 07:34:00,2013-01-01 07:57:00,40.759441,-73.987877,42435675
2013014048,2013-01-01 07:34:00,2013-01-01 07:59:00,40.765198,-73.967529,42429974
2013010826,2013-01-01 07:34:22,2013-01-01 08:07:13,40.7798,-73.987801,42438306
2013014063,2013-01-01 07:35:44,2013-01-01 07:58:46,40.795376,-73.944031,42447192
2013013367,2013-01-01 07:36:00,2013-01-01 08:03:00,40.788788,-73.96611,42435317
2013010952,2013-01-01 07:36:00,2013-01-01 07:55:00,40.761669,-73.977089,4207938835
2013005880,2013-01-01 07:36:00,2013-01-01 07:59:00,40.759499,-73.99221,42445011
2013014087,2013-01-01 07:37:34,2013-01-01 08:01:48,40.771713,-73.990623,42430749
2013012334,2013-01-01 07:37:41,2013-01-01 08:02:26,40.803707,-73.966515,3579432156
2013012926,2013-01-01 07:38:00,2013-01-01 08:10:00,40.76334,-73.982697,42428313
2013013737,2013-01-01 07:38:00,2013-01-01 08:05:00,40.771889,-73.990807,42430749
2013011604,2013-01-01 07:38:04,2013-01-01 07:59:20,40.740196,-73.986244,42448693
2013014096,2013-01-01 07:38:05,2013-01-01 08:00:50,40.761189,-73.958534,42427970
2013013805,2013-01-01 07:38:14,2013-01-01 07:59:50,40.752769,-73.970299,42442948
2013012095,2013-01-01 07:38:51,2013-01-01 08:11:14,40.739769,-74.005226,42429394
2013011041,2013-01-01 07:38:57,2013-01-01 07:57:24,40.750843,-73.971718,42442939
2013006846,2013-01-01 07:39:00,2013-01-01 08:07:00,40.774616,-73.981247,4557495130
2013013550,2013-01-01 07:39:00,2013-01-01 08:04:00,40.731567,-74.000755,42430231
2013014111,2013-01-01 07:39:22,2013-01-01 08:00:34,40.731945,-73.982071,42431470
2013013241,2013-01-01 07:40:00,2013-01-01 08:01:00,40.72459,-73.993614,42457325
2013013340,2013-01-01 07:40:00,2013-01-01 08:01:00,40.749458,-73.972649,42432464
2013013166,2013-01-01 07:40:25,2013-01-01 08:05:51,40.774452,-73.960609,42436914
2013013438,2013-01-01 07:40:35,2013-01-01 08:03:42,40.762131,-73.975838,42440951
2013012260,2013-01-01 07:41:00,2013-01-01 08:01:00,40.783985,-73.949463,6181480050
2013014140,2013-01-01 07:42:00,2013-01-01 08:09:00,40.705891,-74.009537,42432679
2013011154,2013-01-01 07:42:30,2013-01-01 08:05:02,40.760201,-73.982727,42432585
2013012979,2013-01-01 07:43:00,2013-01-01 08:07:00,40.702724,-74.01149,42431898
2013014154,2013-01-01 07:43:18,2013-01-01 08:03:49,40.779602,-73.947304,4205865492
2013013627,2013-01-01 07:43:24,2013-01-01 08:05:58,40.73838,-73.986359,42438173
